user_id,ndcg@3,hit@3,ndcg@5,hit@5
1.0,0.0,0,0.20210734650054757,1
7.0,0.6131471927654584,1,0.6131471927654584,1
12.0,0.6131471927654584,1,0.6131471927654584,1
18.0,0.0,0,0.18154179253735267,1
21.0,0.38685280723454163,1,0.38685280723454163,1
23.0,0.0,0,0.0,0
29.0,0.23463936301137822,1,0.23463936301137822,1
31.0,0.2960819109658652,1,0.2960819109658652,1
35.0,0.6131471927654584,1,0.6131471927654584,1
44.0,0.6131471927654584,1,0.6131471927654584,1
47.0,0.46927872602275644,1,0.46927872602275644,1
51.0,0.38685280723454163,1,0.38685280723454163,1
59.0,0.6131471927654584,1,0.6131471927654584,1
64.0,0.6131471927654584,1,0.6131471927654584,1
71.0,0.6131471927654584,1,0.6131471927654584,1
76.0,0.0,0,0.2640681225725909,1
97.0,0.6131471927654584,1,0.6131471927654584,1
136.0,0.38685280723454163,1,0.38685280723454163,1
144.0,0.2960819109658652,1,0.2960819109658652,1
166.0,0.6131471927654584,1,0.6131471927654584,1
175.0,0.0,0,0.20210734650054757,1
177.0,0.46927872602275644,1,0.46927872602275644,1
180.0,0.23463936301137822,1,0.23463936301137822,1
182.0,0.38685280723454163,1,0.38685280723454163,1
189.0,0.0,0,0.0,0
222.0,0.46927872602275644,1,0.46927872602275644,1
247.0,0.2960819109658652,1,0.24630238874073,1
248.0,0.46927872602275644,1,0.3903800499921017,1
259.0,0.2960819109658652,1,0.2960819109658652,1
272.0,0.6131471927654584,1,0.6131471927654584,1
273.0,0.2960819109658652,1,0.2960819109658652,1
284.0,0.46927872602275644,1,0.3903800499921017,1
292.0,0.6131471927654584,1,0.6131471927654584,1
306.0,0.38685280723454163,1,0.38685280723454163,1
310.0,0.38685280723454163,1,0.38685280723454163,1
313.0,0.46927872602275644,1,0.46927872602275644,1
316.0,0.38685280723454163,1,0.38685280723454163,1
331.0,0.38685280723454163,1,0.38685280723454163,1
334.0,0.6131471927654584,1,0.6131471927654584,1
336.0,0.6131471927654584,1,0.6131471927654584,1
360.0,0.6131471927654584,1,0.6131471927654584,1
368.0,0.6131471927654584,1,0.6131471927654584,1
376.0,0.6131471927654584,1,0.6131471927654584,1
386.0,0.3065735963827292,1,0.3065735963827292,1
390.0,0.0,0,0.0,0
391.0,0.0,0,0.13120507751234178,1
416.0,0.46927872602275644,1,0.3903800499921017,1
424.0,0.6131471927654584,1,0.6131471927654584,1
431.0,0.6131471927654584,1,0.6131471927654584,1
442.0,0.0,0,0.23719771276929622,1
443.0,0.3065735963827292,1,0.3065735963827292,1
447.0,0.0,0,0.20210734650054757,1
451.0,0.2960819109658652,1,0.24630238874073,1
452.0,0.3065735963827292,1,0.3065735963827292,1
460.0,0.6131471927654584,1,0.6131471927654584,1
462.0,0.46927872602275644,1,0.5585075862632192,1
469.0,0.46927872602275644,1,0.46927872602275644,1
471.0,0.46927872602275644,1,0.3903800499921017,1
474.0,0.0,0,0.18154179253735267,1
476.0,0.6131471927654584,1,0.6131471927654584,1
479.0,0.6131471927654584,1,0.6131471927654584,1
492.0,0.6131471927654584,1,0.6131471927654584,1
493.0,0.6131471927654584,1,0.6131471927654584,1
496.0,0.6131471927654584,1,0.6131471927654584,1
497.0,0.46927872602275644,1,0.3903800499921017,1
502.0,0.2960819109658652,1,0.24630238874073,1
516.0,0.46927872602275644,1,0.46927872602275644,1
518.0,0.38685280723454163,1,0.38685280723454163,1
520.0,0.6131471927654584,1,0.6131471927654584,1
529.0,0.3065735963827292,1,0.3065735963827292,1
542.0,0.0,0,0.0,0
562.0,0.38685280723454163,1,0.38685280723454163,1
569.0,0.46927872602275644,1,0.46927872602275644,1
573.0,0.6131471927654584,1,0.6131471927654584,1
583.0,0.46927872602275644,1,0.46927872602275644,1
593.0,0.6131471927654584,1,0.6131471927654584,1
594.0,0.7653606369886217,1,0.5531464700081437,1
600.0,0.46927872602275644,1,0.46927872602275644,1
607.0,0.2960819109658652,1,0.2960819109658652,1
613.0,0.38685280723454163,1,0.38685280723454163,1
624.0,0.6131471927654584,1,0.6131471927654584,1
627.0,0.38685280723454163,1,0.38685280723454163,1
637.0,0.6131471927654584,1,0.6131471927654584,1
