month,package_id,count
2024-02,2.0,8
2024-02,3.0,6
2024-02,5.0,3
2024-02,1.0,1
2024-02,4.0,1
2024-03,3.0,34
2024-03,2.0,31
2024-03,1.0,10
2024-03,4.0,5
2024-03,5.0,4
2024-03,6.0,4
2024-04,2.0,53
2024-04,3.0,31
2024-04,5.0,9
2024-04,4.0,8
2024-04,6.0,5
2024-04,1.0,4
2024-05,2.0,66
2024-05,3.0,40
2024-05,5.0,18
2024-05,1.0,14
2024-05,4.0,11
2024-05,6.0,11
2024-05,8.0,3
2024-05,7.0,2
2024-06,2.0,53
2024-06,3.0,38
2024-06,1.0,15
2024-06,4.0,10
2024-06,5.0,8
2024-06,6.0,5
2024-06,8.0,1
2024-07,2.0,35
2024-07,3.0,21
2024-07,1.0,9
2024-07,5.0,6
2024-07,4.0,4
2024-07,6.0,2
2024-08,2.0,47
2024-08,3.0,27
2024-08,1.0,7
2024-08,4.0,7
2024-08,5.0,3
2024-08,6.0,2
2024-09,2.0,46
2024-09,3.0,22
2024-09,1.0,5
2024-09,4.0,4
2024-09,6.0,3
2024-10,2.0,51
2024-10,3.0,37
2024-10,1.0,11
2024-10,4.0,5
2024-10,5.0,5
2024-10,6.0,2
2024-11,2.0,43
2024-11,3.0,17
2024-11,5.0,8
2024-11,1.0,6
2024-11,4.0,5
2024-11,6.0,2
2024-12,17.0,48
2024-12,2.0,43
2024-12,20.0,18
2024-12,18.0,10
2024-12,19.0,8
2024-12,3.0,6
2024-12,1.0,5
2024-12,4.0,2
2024-12,6.0,2
2024-12,5.0,1
2025-01,2.0,32
2025-01,3.0,21
2025-01,17.0,19
2025-01,1.0,3
2025-01,6.0,3
2025-01,18.0,3
2025-01,4.0,2
2025-01,19.0,1
2025-02,2.0,24
2025-02,21.0,21
2025-02,3.0,13
2025-02,1.0,9
2025-02,6.0,3
2025-02,5.0,2
2025-02,4.0,1
2025-03,2.0,23
2025-03,3.0,22
2025-03,1.0,6
2025-03,4.0,4
2025-03,5.0,4
2025-03,6.0,3
2025-03,9.0,1
2025-04,2.0,49
2025-04,3.0,25
2025-04,5.0,11
2025-04,4.0,8
2025-04,1.0,4
2025-04,6.0,1
2025-04,7.0,1
2025-04,9.0,1
2025-05,2.0,56
2025-05,3.0,21
2025-05,5.0,9
2025-05,1.0,5
2025-05,4.0,5
2025-05,6.0,4
2025-05,9.0,1
2025-06,2.0,34
2025-06,3.0,34
2025-06,1.0,7
2025-06,4.0,4
2025-06,5.0,4
2025-06,6.0,1
2025-07,2.0,33
2025-07,3.0,24
2025-07,1.0,3
2025-07,4.0,3
2025-07,5.0,3
2025-07,6.0,1
2025-08,2.0,52
2025-08,3.0,21
2025-08,1.0,7
2025-08,5.0,7
2025-08,4.0,3
2025-08,6.0,2
2025-09,2.0,33
2025-09,3.0,16
2025-09,4.0,8
2025-09,5.0,4
2025-09,6.0,4
2025-09,1.0,3
2025-10,2.0,37
2025-10,3.0,18
2025-10,1.0,6
2025-10,4.0,4
2025-10,5.0,4
2025-10,6.0,3
2025-11,2.0,29
2025-11,3.0,14
2025-11,4.0,6
2025-11,5.0,4
2025-11,1.0,2
2025-11,6.0,1
2026-03,17.0,2
2026-03,1.0,1
2026-03,2.0,1
2026-03,5.0,1
