month,package_id,addon_id,count
2024-02,2.0,7,3
2024-02,3.0,7,3
2024-02,2.0,5,2
2024-02,3.0,6,2
2024-02,1.0,6,1
2024-02,1.0,7,1
2024-02,1.0,14,1
2024-02,2.0,2,1
2024-02,2.0,11,1
2024-02,3.0,4,1
2024-02,3.0,8,1
2024-02,3.0,14,1
2024-02,4.0,5,1
2024-02,4.0,7,1
2024-02,5.0,6,1
2024-02,5.0,7,1
2024-02,5.0,8,1
2024-02,5.0,10,1
2024-02,5.0,11,1
2024-02,5.0,14,1
2024-03,3.0,7,24
2024-03,2.0,8,13
2024-03,2.0,7,12
2024-03,3.0,8,7
2024-03,1.0,8,6
2024-03,3.0,1,5
2024-03,3.0,6,5
2024-03,2.0,2,4
2024-03,1.0,7,3
2024-03,2.0,11,3
2024-03,3.0,2,3
2024-03,3.0,14,3
2024-03,4.0,7,3
2024-03,1.0,5,2
2024-03,1.0,11,2
2024-03,2.0,1,2
2024-03,2.0,5,2
2024-03,2.0,6,2
2024-03,2.0,14,2
2024-03,3.0,11,2
2024-03,4.0,5,2
2024-03,4.0,6,2
2024-03,5.0,7,2
2024-03,5.0,8,2
2024-03,1.0,6,1
2024-03,1.0,10,1
2024-03,2.0,10,1
2024-03,3.0,5,1
2024-03,3.0,9,1
2024-03,3.0,10,1
2024-03,4.0,8,1
2024-03,4.0,11,1
2024-03,4.0,14,1
2024-03,5.0,2,1
2024-03,5.0,11,1
2024-03,6.0,1,1
2024-03,6.0,5,1
2024-03,6.0,14,1
2024-04,3.0,7,21
2024-04,2.0,8,19
2024-04,2.0,7,11
2024-04,2.0,6,8
2024-04,3.0,6,7
2024-04,2.0,2,6
2024-04,3.0,2,5
2024-04,3.0,8,5
2024-04,5.0,7,5
2024-04,2.0,11,4
2024-04,5.0,8,4
2024-04,2.0,1,3
2024-04,3.0,11,3
2024-04,4.0,6,3
2024-04,4.0,7,3
2024-04,4.0,8,3
2024-04,5.0,11,3
2024-04,1.0,8,2
2024-04,2.0,14,2
2024-04,3.0,5,2
2024-04,5.0,6,2
2024-04,6.0,11,2
2024-04,1.0,6,1
2024-04,2.0,9,1
2024-04,2.0,10,1
2024-04,2.0,19,1
2024-04,3.0,4,1
2024-04,3.0,10,1
2024-04,4.0,5,1
2024-04,5.0,2,1
2024-04,5.0,14,1
2024-05,2.0,8,31
2024-05,3.0,7,18
2024-05,2.0,7,17
2024-05,3.0,11,12
2024-05,3.0,8,9
2024-05,5.0,7,9
