month,customer_id,packages
2024-02,1495,1
2024-02,2036,1
2024-02,2037,1
2024-02,2038,1
2024-02,2039,1
2024-02,2040,1
2024-02,2041,1
2024-02,2042,1
2024-02,2043,1
2024-02,2044,1
2024-02,2045,1
2024-02,2046,2
2024-02,2047,1
2024-02,2048,1
2024-02,2049,1
2024-02,2050,1
2024-02,2051,1
2024-02,2052,1
2024-03,43,1
2024-03,172,1
2024-03,221,1
2024-03,248,1
2024-03,267,1
2024-03,270,1
2024-03,848,1
2024-03,876,1
2024-03,1063,2
2024-03,1148,1
2024-03,1153,1
2024-03,1175,1
2024-03,1188,1
2024-03,1243,1
2024-03,2053,1
2024-03,2054,1
2024-03,2055,1
2024-03,2056,1
2024-03,2057,1
2024-03,2058,1
2024-03,2059,1
2024-03,2060,1
2024-03,2061,1
2024-03,2062,1
2024-03,2063,1
2024-03,2064,1
2024-03,2065,1
2024-03,2066,1
2024-03,2067,1
2024-03,2068,1
2024-03,2069,1
2024-03,2070,1
2024-03,2071,1
2024-03,2072,1
2024-03,2073,1
2024-03,2074,1
2024-03,2075,1
2024-03,2076,1
2024-03,2077,1
2024-03,2078,1
2024-03,2079,1
2024-03,2080,1
2024-03,2081,1
2024-03,2082,1
2024-03,2083,1
2024-03,2084,2
2024-03,2085,1
2024-03,2086,1
2024-03,2087,1
2024-03,2088,1
2024-03,2089,1
2024-03,2090,1
2024-03,2091,1
2024-03,2092,1
2024-03,2093,1
2024-03,2094,1
2024-03,2095,1
2024-03,2096,1
2024-03,2097,1
2024-03,2098,1
2024-03,2099,1
2024-03,2100,1
2024-03,2101,1
2024-03,2102,1
2024-03,2103,1
2024-03,2104,1
2024-03,2105,1
2024-03,2106,1
2024-03,2107,1
2024-03,2108,2
2024-03,2109,1
2024-03,2110,1
2024-03,2111,1
2024-03,2112,1
2024-03,2113,1
2024-03,2114,1
2024-03,2115,1
2024-03,2116,1
2024-03,2117,1
2024-03,2118,1
2024-03,2248,1
2024-03,2249,1
2024-03,2250,1
